Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
USDEUR,Euros per US Dollar,Exchange Rates - Market,United States Dollar,United States,,,,,,,Currency Units,Units,Stock,none,Daily From Jan 1950 To Feb 2021<BR>,"Currencies: European Composite Unit (XBA/955), European Unit of Account/European Currency Unit (XEU/954), and Euro (EUR/978) <br />Begins: January 1950 <br />Sources: Federal Reserve Bank, Eurostat, European Central Bank. <br />Notes: Europe used several common currencies prior to the introduction of the Euro.  The first was the European Composite Unit, which was introduced at par to the dollar in 1961, and only changed Value when the Dollar was devalued. It was replaced by the European Monetary Unit, which was only for six countries, in 1970.  The European Unit of Account (EUA) replaced the European Monetary Unit in April 1972, and on June 28, 1974, its value was set equal to 1 SDR and made a composite of the German Mark (28.3%/0.828 DEM), French Franc (19.5%/1.15 FRF), Italian Lira (14%/109 ITL), Dutch Guilder (9%/0.286 NLG), Belgian Franc (7.9%/3.66 BEF), Luxembourg Franc (0.3%/0.14 LUF), British Pound (17.5%/0.0885 GBP), Irish Pound (1.5%/0.00759 IEP), and Danish Krone (3%/0.217 DKK).  These weights have been used to calculate the values of the European Unit of Account from 1969 to January 1, 1979 when the European Currency Unit (ECU) replaced the European Unit of Account.  <br />On January 1, 1999, the Euro replaced the European Currency Unit at par.  The official conversion rates are 1 Euro = 40.3399 BEF, 1.95583 DEM, 166.386 ESP, 6.55957 FRF, .787564 IEP, 1936.27 ITL, 40.3399 LUF, 2.20371 NLG, 13.7603 ATS, 200.482 PTE, and 5.94573 FIM. Greece was added to the Euro on January 1, 2001 a 1 Euro = 340.75 GRD, Slovenia on January 1, 2007 at 239.64 SIT, Malta on January 1, 2008 at 0.4293 MTL, and Cyprus on January 1, 2008 at 0.585274 CYP. The Slovak Republic adopted the Euro on January 1, 2009 at the rate of 30.126 Koruna = 1 Euro. Estonia adopted the Euro on January 1, 2011 at the rate of 15.6466 Kroon = 1 Euro, Latvia adopted on January 1, 2014 at 0.702804 Lats = 1 Euro and Lithuania on January 1, 2015 at 3.4528 LTL = 1 Euro.<br />The United Kingdom, Denmark and Sweden remain outside of the currency area. Data for the ECU is provided through December 31, 1998 in XRXEUD. The Euro file includes the European Composite Unit from 1950 to August 1969, the EUA/ECU from September 1969 to December 31, 1998, and the Euro beginning on January 1, 1999. <br />The Effective Exchange Rate of the Euro is calculated by the European Central Bank on a daily basis.  The weights for the index are US Dollar (25.05%), British Pound (24.26%), Japanese Yen (15.01%), Swiss Franc (8.84%), Swedish Krona (6.23%), Korean Won (4.91%), Hong Kong Dollar (3.90%), Danish Krone (3.50%), Singapore Dollar (3.50%), Canadian Dollar (1.96%), Norwegian Krone (1.70%) and Australian Dollar (1.13%).",
Date,Ticker,Open,High,Low,Close
01/02/1950,USDEUR,1,1,1,1
01/03/1950,USDEUR,1,1,1,1
01/04/1950,USDEUR,1,1,1,1
01/05/1950,USDEUR,1,1,1,1
01/06/1950,USDEUR,1,1,1,1
01/07/1950,USDEUR,1,1,1,1
01/09/1950,USDEUR,1,1,1,1
01/10/1950,USDEUR,1,1,1,1
01/11/1950,USDEUR,1,1,1,1
01/12/1950,USDEUR,1,1,1,1
01/13/1950,USDEUR,1,1,1,1
01/14/1950,USDEUR,1,1,1,1
01/16/1950,USDEUR,1,1,1,1
01/17/1950,USDEUR,1,1,1,1
01/18/1950,USDEUR,1,1,1,1
01/19/1950,USDEUR,1,1,1,1
01/20/1950,USDEUR,1,1,1,1
01/21/1950,USDEUR,1,1,1,1
01/23/1950,USDEUR,1,1,1,1
01/24/1950,USDEUR,1,1,1,1
01/25/1950,USDEUR,1,1,1,1
01/26/1950,USDEUR,1,1,1,1
01/27/1950,USDEUR,1,1,1,1
01/28/1950,USDEUR,1,1,1,1
01/30/1950,USDEUR,1,1,1,1
01/31/1950,USDEUR,1,1,1,1
02/01/1950,USDEUR,1,1,1,1
02/02/1950,USDEUR,1,1,1,1
02/03/1950,USDEUR,1,1,1,1
02/04/1950,USDEUR,1,1,1,1
02/06/1950,USDEUR,1,1,1,1
02/07/1950,USDEUR,1,1,1,1
02/08/1950,USDEUR,1,1,1,1
02/09/1950,USDEUR,1,1,1,1
02/10/1950,USDEUR,1,1,1,1
02/11/1950,USDEUR,1,1,1,1
02/13/1950,USDEUR,1,1,1,1
02/14/1950,USDEUR,1,1,1,1
02/15/1950,USDEUR,1,1,1,1
02/16/1950,USDEUR,1,1,1,1
02/17/1950,USDEUR,1,1,1,1
02/18/1950,USDEUR,1,1,1,1
02/20/1950,USDEUR,1,1,1,1
02/21/1950,USDEUR,1,1,1,1
02/22/1950,USDEUR,1,1,1,1
02/23/1950,USDEUR,1,1,1,1
02/24/1950,USDEUR,1,1,1,1
02/25/1950,USDEUR,1,1,1,1
02/27/1950,USDEUR,1,1,1,1
02/28/1950,USDEUR,1,1,1,1
03/01/1950,USDEUR,1,1,1,1
03/02/1950,USDEUR,1,1,1,1
03/03/1950,USDEUR,1,1,1,1
03/04/1950,USDEUR,1,1,1,1
03/06/1950,USDEUR,1,1,1,1
03/07/1950,USDEUR,1,1,1,1
03/08/1950,USDEUR,1,1,1,1
03/09/1950,USDEUR,1,1,1,1
03/10/1950,USDEUR,1,1,1,1
03/11/1950,USDEUR,1,1,1,1
03/13/1950,USDEUR,1,1,1,1
03/14/1950,USDEUR,1,1,1,1
03/15/1950,USDEUR,1,1,1,1
03/16/1950,USDEUR,1,1,1,1
03/17/1950,USDEUR,1,1,1,1
03/18/1950,USDEUR,1,1,1,1
03/20/1950,USDEUR,1,1,1,1
03/21/1950,USDEUR,1,1,1,1
03/22/1950,USDEUR,1,1,1,1
03/23/1950,USDEUR,1,1,1,1
03/24/1950,USDEUR,1,1,1,1
03/25/1950,USDEUR,1,1,1,1
03/27/1950,USDEUR,1,1,1,1
03/28/1950,USDEUR,1,1,1,1
03/29/1950,USDEUR,1,1,1,1
03/30/1950,USDEUR,1,1,1,1
03/31/1950,USDEUR,1,1,1,1
04/01/1950,USDEUR,1,1,1,1
04/03/1950,USDEUR,1,1,1,1
04/04/1950,USDEUR,1,1,1,1
04/05/1950,USDEUR,1,1,1,1
04/06/1950,USDEUR,1,1,1,1
04/07/1950,USDEUR,1,1,1,1
04/08/1950,USDEUR,1,1,1,1
04/10/1950,USDEUR,1,1,1,1
04/11/1950,USDEUR,1,1,1,1
04/12/1950,USDEUR,1,1,1,1
04/13/1950,USDEUR,1,1,1,1
04/14/1950,USDEUR,1,1,1,1
04/15/1950,USDEUR,1,1,1,1
04/17/1950,USDEUR,1,1,1,1
04/18/1950,USDEUR,1,1,1,1
04/19/1950,USDEUR,1,1,1,1
04/20/1950,USDEUR,1,1,1,1
04/21/1950,USDEUR,1,1,1,1
04/22/1950,USDEUR,1,1,1,1
04/24/1950,USDEUR,1,1,1,1
04/25/1950,USDEUR,1,1,1,1
04/26/1950,USDEUR,1,1,1,1
04/27/1950,USDEUR,1,1,1,1
04/28/1950,USDEUR,1,1,1,1
04/29/1950,USDEUR,1,1,1,1
05/01/1950,USDEUR,1,1,1,1
05/02/1950,USDEUR,1,1,1,1
05/03/1950,USDEUR,1,1,1,1
05/04/1950,USDEUR,1,1,1,1
05/05/1950,USDEUR,1,1,1,1
05/06/1950,USDEUR,1,1,1,1
05/08/1950,USDEUR,1,1,1,1
05/09/1950,USDEUR,1,1,1,1
05/10/1950,USDEUR,1,1,1,1
05/11/1950,USDEUR,1,1,1,1
05/12/1950,USDEUR,1,1,1,1
05/13/1950,USDEUR,1,1,1,1
05/15/1950,USDEUR,1,1,1,1
05/16/1950,USDEUR,1,1,1,1
05/17/1950,USDEUR,1,1,1,1
05/18/1950,USDEUR,1,1,1,1
05/19/1950,USDEUR,1,1,1,1
05/20/1950,USDEUR,1,1,1,1
05/22/1950,USDEUR,1,1,1,1
05/23/1950,USDEUR,1,1,1,1
05/24/1950,USDEUR,1,1,1,1
05/25/1950,USDEUR,1,1,1,1
05/26/1950,USDEUR,1,1,1,1
05/27/1950,USDEUR,1,1,1,1
05/30/1950,USDEUR,1,1,1,1
05/31/1950,USDEUR,1,1,1,1
06/01/1950,USDEUR,1,1,1,1
06/02/1950,USDEUR,1,1,1,1
06/03/1950,USDEUR,1,1,1,1
06/05/1950,USDEUR,1,1,1,1
06/06/1950,USDEUR,1,1,1,1
06/07/1950,USDEUR,1,1,1,1
06/08/1950,USDEUR,1,1,1,1
06/09/1950,USDEUR,1,1,1,1
06/10/1950,USDEUR,1,1,1,1
06/12/1950,USDEUR,1,1,1,1
06/13/1950,USDEUR,1,1,1,1
06/14/1950,USDEUR,1,1,1,1
06/15/1950,USDEUR,1,1,1,1
06/16/1950,USDEUR,1,1,1,1
06/17/1950,USDEUR,1,1,1,1
06/19/1950,USDEUR,1,1,1,1
06/20/1950,USDEUR,1,1,1,1
06/21/1950,USDEUR,1,1,1,1
