Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGDEU2D,Germany 2-year Government Note Yield,Government Bond Yields,Germany Deutschemark (Euro from 01/01/1999),Germany,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jan 1967 To Dec 1995<BR>Daily From Jan 1996 To Feb 2021<BR>,"Source: Bundesbank The benchmark bond is used for this series.  The benchmark bond is the bond that is closest to the stated maturity without exceeding it.  When the government issues a new bond of the stated maturity, it replaces the bond used for the index to keep the maturity as close to the stated time period as possible.  Depending on how much of a difference there is in maturities, there may be some adjustment in the yield when the new bond is introduced.",
Date,Ticker,Open,High,Low,Close
01/31/1969,IGDEU2D,,,,5.46
02/28/1969,IGDEU2D,,,,5.53
03/31/1969,IGDEU2D,,,,5.68
04/30/1969,IGDEU2D,,,,5.88
05/31/1969,IGDEU2D,,,,5.86
06/30/1969,IGDEU2D,,,,6.31
07/31/1969,IGDEU2D,,,,6.63
08/31/1969,IGDEU2D,,,,6.65
09/30/1969,IGDEU2D,,,,7.2
10/31/1969,IGDEU2D,,,,7.18
11/30/1969,IGDEU2D,,,,7.41
12/31/1969,IGDEU2D,,,,7.51
01/31/1970,IGDEU2D,,,,7.7
02/28/1970,IGDEU2D,,,,7.74
03/31/1970,IGDEU2D,,,,8.3
04/30/1970,IGDEU2D,,,,8.1
05/31/1970,IGDEU2D,,,,8.39
06/30/1970,IGDEU2D,,,,8.64
07/31/1970,IGDEU2D,,,,7.92
08/31/1970,IGDEU2D,,,,8.05
09/30/1970,IGDEU2D,,,,8.33
10/31/1970,IGDEU2D,,,,8.19
11/30/1970,IGDEU2D,,,,7.97
12/31/1970,IGDEU2D,,,,7.52
01/31/1971,IGDEU2D,,,,7.22
02/28/1971,IGDEU2D,,,,7.51
03/31/1971,IGDEU2D,,,,7.64
04/30/1971,IGDEU2D,,,,7.36
05/31/1971,IGDEU2D,,,,7.51
06/30/1971,IGDEU2D,,,,8
07/31/1971,IGDEU2D,,,,7.91
08/31/1971,IGDEU2D,,,,7.76
09/30/1971,IGDEU2D,,,,7.68
10/31/1971,IGDEU2D,,,,7.56
11/30/1971,IGDEU2D,,,,7.46
12/31/1971,IGDEU2D,,,,7.18
01/31/1972,IGDEU2D,,,,6.48
02/29/1972,IGDEU2D,,,,6.2
03/31/1972,IGDEU2D,,,,6.3
04/30/1972,IGDEU2D,,,,6.69
05/31/1972,IGDEU2D,,,,6.52
06/30/1972,IGDEU2D,,,,6.93
07/31/1972,IGDEU2D,,,,7.04
08/31/1972,IGDEU2D,,,,6.98
09/30/1972,IGDEU2D,,,,6.75
10/31/1972,IGDEU2D,,,,7.7
11/30/1972,IGDEU2D,,,,7.87
12/31/1972,IGDEU2D,,,,8.01
01/31/1973,IGDEU2D,,,,7.68
02/28/1973,IGDEU2D,,,,7.66
03/31/1973,IGDEU2D,,,,8.09
04/30/1973,IGDEU2D,,,,8.77
05/31/1973,IGDEU2D,,,,9.4
06/30/1973,IGDEU2D,,,,9.77
07/31/1973,IGDEU2D,,,,10.2
08/31/1973,IGDEU2D,,,,9.49
09/30/1973,IGDEU2D,,,,9.81
10/31/1973,IGDEU2D,,,,9.45
11/30/1973,IGDEU2D,,,,9.6
12/31/1973,IGDEU2D,,,,9.67
01/31/1974,IGDEU2D,,,,9.48
02/28/1974,IGDEU2D,,,,10.09
03/31/1974,IGDEU2D,,,,10.25
04/30/1974,IGDEU2D,,,,10.18
05/31/1974,IGDEU2D,,,,9.98
06/30/1974,IGDEU2D,,,,10.02
07/31/1974,IGDEU2D,,,,9.98
08/31/1974,IGDEU2D,,,,10.1
09/30/1974,IGDEU2D,,,,10.16
10/31/1974,IGDEU2D,,,,9.97
11/30/1974,IGDEU2D,,,,9.37
12/31/1974,IGDEU2D,,,,8.96
01/31/1975,IGDEU2D,,,,8.06
02/28/1975,IGDEU2D,,,,7.34
03/31/1975,IGDEU2D,,,,7.32
04/30/1975,IGDEU2D,,,,7.02
05/31/1975,IGDEU2D,,,,6.78
06/30/1975,IGDEU2D,,,,6.89
07/31/1975,IGDEU2D,,,,6.85
08/31/1975,IGDEU2D,,,,6.88
09/30/1975,IGDEU2D,,,,6.92
10/31/1975,IGDEU2D,,,,7.01
11/30/1975,IGDEU2D,,,,6.95
12/31/1975,IGDEU2D,,,,6.9
01/31/1976,IGDEU2D,,,,6.62
02/29/1976,IGDEU2D,,,,6.12
03/31/1976,IGDEU2D,,,,6.02
04/30/1976,IGDEU2D,,,,6.04
05/31/1976,IGDEU2D,,,,6.39
06/30/1976,IGDEU2D,,,,6.55
07/31/1976,IGDEU2D,,,,6.93
08/30/1976,IGDEU2D,,,,6.94
09/30/1976,IGDEU2D,,,,6.83
10/31/1976,IGDEU2D,,,,6.82
11/30/1976,IGDEU2D,,,,6.25
12/31/1976,IGDEU2D,,,,6.32
01/31/1977,IGDEU2D,,,,6.2
02/28/1977,IGDEU2D,,,,6.1
03/31/1977,IGDEU2D,,,,5.68
04/30/1977,IGDEU2D,,,,5.45
05/31/1977,IGDEU2D,,,,5.3
06/30/1977,IGDEU2D,,,,5.25
07/31/1977,IGDEU2D,,,,5.08
08/31/1977,IGDEU2D,,,,4.88
09/30/1977,IGDEU2D,,,,4.87
10/31/1977,IGDEU2D,,,,4.87
11/30/1977,IGDEU2D,,,,4.86
12/31/1977,IGDEU2D,,,,4.76
01/31/1978,IGDEU2D,,,,4.51
02/28/1978,IGDEU2D,,,,4.37
03/31/1978,IGDEU2D,,,,4.31
04/30/1978,IGDEU2D,,,,4.29
05/31/1978,IGDEU2D,,,,4.5
06/30/1978,IGDEU2D,,,,4.74
07/31/1978,IGDEU2D,,,,5.13
08/31/1978,IGDEU2D,,,,5.2
09/30/1978,IGDEU2D,,,,5.09
10/31/1978,IGDEU2D,,,,5.06
11/30/1978,IGDEU2D,,,,5.14
12/31/1978,IGDEU2D,,,,5.24
01/31/1979,IGDEU2D,,,,5.45
02/28/1979,IGDEU2D,,,,5.73
03/31/1979,IGDEU2D,,,,5.94
04/30/1979,IGDEU2D,,,,6.7
05/31/1979,IGDEU2D,,,,7.35
06/30/1979,IGDEU2D,,,,7.46
07/31/1979,IGDEU2D,,,,7.51
08/31/1979,IGDEU2D,,,,7.46
09/30/1979,IGDEU2D,,,,7.72
10/31/1979,IGDEU2D,,,,8.26
11/30/1979,IGDEU2D,,,,8.19
12/31/1979,IGDEU2D,,,,8.22
01/31/1980,IGDEU2D,,,,8.37
