Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
MOCBAAD,Moody's Corporate BAA Yield,Corporate Bond Yields,United States Dollar,United States,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jan 1919 To Jan 1930<BR>Weekly From Feb 1930 To Dec 1982<BR>Daily From Jan 1983 To Feb 2021<BR>,"Moody's tries to include bonds with remaining maturities as close as possible to 30 years. Moody's drops bonds if the remaining life falls below 20 years, if the bond is susceptible to redemption, or if the rating changes.<br />Moody's keeps a number of long-term bond indices.  The composite indices are available back to 1919 for corporate bonds and 1948 for Municipal bonds.  Data were taken from the Commercial and Financial Chronicle from 1930 until 1940, and from the Federal Reserve, National Monetary Statistics, New York: Federal Reserve Board, 1941, 1970 and annually thereafter, or from weekly editions of Moody's Bond Survey which has been recently renamed Moody's Credit Survey. Yield data on Industrial and utility bonds of different ratings are available beginning in 1980.  All data are expressed in terms of yields.  The Corporate AAA Bond data have been extended backward by including Macaulay's Bond Yield from 1857 to 1918. The Moody's Municipal Composite uses the Dow Jones 20-year Municipal Bond Yield index from 1928 through 1947. <br /> The Rails indices provide average monthly yields of approximately 20 long-term railroad bonds (4 Aa, 5 A and 4 Baa).  Prior to 1928, 20 bonds were used.  All yields were calculated to maturity dates and the list of bonds was adjusted when required to reflect rating changes or other reasons so that each of the series was comparable throughout the entire period. The Rail AAA index was discontinued on December 18, 1967, and all rail averages were discontinued on July 17, 1989 because of insufficient frequently tradable bonds. The index for new Rail capital is annual from 1860 through 1920, quarterly from 1921 to 1941, and annual from 1941 through 1958.  Moody's consistently uses long-term bonds for their indices.  They keep the average maturity of their bonds is in the 25-30 year range with a duration of about half the maturity. <br /> The Moody's Utilities Preferred AA Series includes Moody's Preferred Stocks, Low Dividend Series, High Grade Public Utilities series from January 1946 through June 1975, and Moody's Utilities Preferred BAA series includes Moody's Referred Stocks, Low Dividend Series, Medium Grade Public Utilities from January 1946 through June 1975. The number of bonds currently included in each index is given in parentheses.  For the exact components, see the January issue of Standard and Poor's Credit Survey.Source: Federal Reserve Bank of St. Louis. The data is collected from the FRED database. The FRED database uses data from the Board of Governors of the Federal Reserve System, the Federal Reserve Bank of Philadelphia, the Federal Reserve Bank of St. Louis, the Office of Federal Housing Enterprise Oversight, The White House Council of Economic Advisors and Office of Management and Budget, the Congressional Budget Office, the U.S. Department of Commerce, the U.S. Department of Housing and Urban Development, the Bureau of Labor Statistics and the U.S. Department of the Treasury.",
Date,Ticker,Open,High,Low,Close
01/03/1969,MOCBAAD,,,,7.35
01/10/1969,MOCBAAD,,,,7.35
01/17/1969,MOCBAAD,,,,7.34
01/24/1969,MOCBAAD,,,,7.29
01/31/1969,MOCBAAD,,,,7.27
02/07/1969,MOCBAAD,,,,7.29
02/14/1969,MOCBAAD,,,,7.31
02/21/1969,MOCBAAD,,,,7.28
02/28/1969,MOCBAAD,,,,7.3
03/07/1969,MOCBAAD,,,,7.39
03/14/1969,MOCBAAD,,,,7.46
03/21/1969,MOCBAAD,,,,7.57
03/28/1969,MOCBAAD,,,,7.63
04/03/1969,MOCBAAD,,,,7.6
04/10/1969,MOCBAAD,,,,7.59
04/18/1969,MOCBAAD,,,,7.55
04/25/1969,MOCBAAD,,,,7.5
05/02/1969,MOCBAAD,,,,7.5
05/09/1969,MOCBAAD,,,,7.49
05/16/1969,MOCBAAD,,,,7.48
05/23/1969,MOCBAAD,,,,7.55
05/30/1969,MOCBAAD,,,,7.58
06/06/1969,MOCBAAD,,,,7.62
06/13/1969,MOCBAAD,,,,7.66
06/20/1969,MOCBAAD,,,,7.74
06/27/1969,MOCBAAD,,,,7.77
07/03/1969,MOCBAAD,,,,7.77
07/11/1969,MOCBAAD,,,,7.83
07/18/1969,MOCBAAD,,,,7.88
07/25/1969,MOCBAAD,,,,7.85
08/01/1969,MOCBAAD,,,,7.84
08/08/1969,MOCBAAD,,,,7.88
08/15/1969,MOCBAAD,,,,7.82
08/22/1969,MOCBAAD,,,,7.84
08/29/1969,MOCBAAD,,,,7.9
09/05/1969,MOCBAAD,,,,7.95
09/12/1969,MOCBAAD,,,,8.03
09/19/1969,MOCBAAD,,,,8.07
09/26/1969,MOCBAAD,,,,8.08
10/03/1969,MOCBAAD,,,,8.18
10/10/1969,MOCBAAD,,,,8.26
10/17/1969,MOCBAAD,,,,8.26
10/24/1969,MOCBAAD,,,,8.21
10/31/1969,MOCBAAD,,,,8.17
11/07/1969,MOCBAAD,,,,8.19
11/14/1969,MOCBAAD,,,,8.19
11/21/1969,MOCBAAD,,,,8.28
11/28/1969,MOCBAAD,,,,8.38
12/05/1969,MOCBAAD,,,,8.45
12/12/1969,MOCBAAD,,,,8.57
12/19/1969,MOCBAAD,,,,8.68
12/26/1969,MOCBAAD,,,,8.8
01/02/1970,MOCBAAD,,,,8.89
01/09/1970,MOCBAAD,,,,8.95
01/16/1970,MOCBAAD,,,,8.86
01/23/1970,MOCBAAD,,,,8.79
01/30/1970,MOCBAAD,,,,8.81
02/06/1970,MOCBAAD,,,,8.81
02/13/1970,MOCBAAD,,,,8.79
02/20/1970,MOCBAAD,,,,8.79
02/27/1970,MOCBAAD,,,,8.73
03/06/1970,MOCBAAD,,,,8.62
03/13/1970,MOCBAAD,,,,8.59
03/20/1970,MOCBAAD,,,,8.65
03/26/1970,MOCBAAD,,,,8.66
04/03/1970,MOCBAAD,,,,8.65
04/10/1970,MOCBAAD,,,,8.63
04/17/1970,MOCBAAD,,,,8.67
04/24/1970,MOCBAAD,,,,8.74
05/01/1970,MOCBAAD,,,,8.82
05/08/1970,MOCBAAD,,,,8.9
05/15/1970,MOCBAAD,,,,8.95
05/22/1970,MOCBAAD,,,,9.02
05/29/1970,MOCBAAD,,,,9.1
06/05/1970,MOCBAAD,,,,9.13
06/12/1970,MOCBAAD,,,,9.18
06/19/1970,MOCBAAD,,,,9.26
06/26/1970,MOCBAAD,,,,9.36
07/03/1970,MOCBAAD,,,,9.41
07/10/1970,MOCBAAD,,,,9.44
07/17/1970,MOCBAAD,,,,9.39
07/24/1970,MOCBAAD,,,,9.38
07/31/1970,MOCBAAD,,,,9.37
08/07/1970,MOCBAAD,,,,9.41
08/14/1970,MOCBAAD,,,,9.42
08/21/1970,MOCBAAD,,,,9.44
08/28/1970,MOCBAAD,,,,9.47
09/04/1970,MOCBAAD,,,,9.45
09/11/1970,MOCBAAD,,,,9.44
09/18/1970,MOCBAAD,,,,9.42
09/25/1970,MOCBAAD,,,,9.32
10/02/1970,MOCBAAD,,,,9.29
10/09/1970,MOCBAAD,,,,9.34
10/16/1970,MOCBAAD,,,,9.34
10/23/1970,MOCBAAD,,,,9.31
10/30/1970,MOCBAAD,,,,9.34
11/06/1970,MOCBAAD,,,,9.38
11/13/1970,MOCBAAD,,,,9.41
11/20/1970,MOCBAAD,,,,9.38
11/27/1970,MOCBAAD,,,,9.37
12/04/1970,MOCBAAD,,,,9.27
12/11/1970,MOCBAAD,,,,9.28
12/18/1970,MOCBAAD,,,,9.12
12/24/1970,MOCBAAD,,,,9.02
12/31/1970,MOCBAAD,,,,8.97
01/08/1971,MOCBAAD,,,,8.9
01/15/1971,MOCBAAD,,,,8.82
01/22/1971,MOCBAAD,,,,8.69
01/29/1971,MOCBAAD,,,,8.54
02/05/1971,MOCBAAD,,,,8.47
02/12/1971,MOCBAAD,,,,8.4
02/19/1971,MOCBAAD,,,,8.34
02/26/1971,MOCBAAD,,,,8.34
03/05/1971,MOCBAAD,,,,8.4
03/12/1971,MOCBAAD,,,,8.47
03/19/1971,MOCBAAD,,,,8.5
03/26/1971,MOCBAAD,,,,8.47
04/02/1971,MOCBAAD,,,,8.46
04/08/1971,MOCBAAD,,,,8.45
04/16/1971,MOCBAAD,,,,8.45
04/23/1971,MOCBAAD,,,,8.42
04/30/1971,MOCBAAD,,,,8.47
05/07/1971,MOCBAAD,,,,8.52
05/14/1971,MOCBAAD,,,,8.59
05/21/1971,MOCBAAD,,,,8.69
05/28/1971,MOCBAAD,,,,8.66
06/04/1971,MOCBAAD,,,,8.71
06/11/1971,MOCBAAD,,,,8.73
06/18/1971,MOCBAAD,,,,8.77
06/25/1971,MOCBAAD,,,,8.78
07/02/1971,MOCBAAD,,,,8.78
07/09/1971,MOCBAAD,,,,8.75
07/16/1971,MOCBAAD,,,,8.77
07/23/1971,MOCBAAD,,,,8.75
07/30/1971,MOCBAAD,,,,8.78
08/06/1971,MOCBAAD,,,,8.85
08/13/1971,MOCBAAD,,,,8.88
08/20/1971,MOCBAAD,,,,8.66
08/27/1971,MOCBAAD,,,,8.69
09/03/1971,MOCBAAD,,,,8.65
09/10/1971,MOCBAAD,,,,8.62
09/17/1971,MOCBAAD,,,,8.63
09/24/1971,MOCBAAD,,,,8.57
10/01/1971,MOCBAAD,,,,8.52
10/08/1971,MOCBAAD,,,,8.49
10/15/1971,MOCBAAD,,,,8.48
10/22/1971,MOCBAAD,,,,8.47
10/29/1971,MOCBAAD,,,,8.44
11/05/1971,MOCBAAD,,,,8.43
11/12/1971,MOCBAAD,,,,8.37
11/19/1971,MOCBAAD,,,,8.36
11/26/1971,MOCBAAD,,,,8.39
12/03/1971,MOCBAAD,,,,8.42
12/10/1971,MOCBAAD,,,,8.42
12/17/1971,MOCBAAD,,,,8.39
12/24/1971,MOCBAAD,,,,8.36
12/31/1971,MOCBAAD,,,,8.31
01/07/1972,MOCBAAD,,,,8.27
01/14/1972,MOCBAAD,,,,8.21
01/21/1972,MOCBAAD,,,,8.18
01/28/1972,MOCBAAD,,,,8.24
02/04/1972,MOCBAAD,,,,8.26
02/11/1972,MOCBAAD,,,,8.25
02/18/1972,MOCBAAD,,,,8.23
02/25/1972,MOCBAAD,,,,8.21
03/03/1972,MOCBAAD,,,,8.21
03/10/1972,MOCBAAD,,,,8.22
03/17/1972,MOCBAAD,,,,8.24
03/24/1972,MOCBAAD,,,,8.26
03/30/1972,MOCBAAD,,,,8.25
04/07/1972,MOCBAAD,,,,8.22
04/14/1972,MOCBAAD,,,,8.22
04/21/1972,MOCBAAD,,,,8.26
04/28/1972,MOCBAAD,,,,8.26
05/05/1972,MOCBAAD,,,,8.22
05/12/1972,MOCBAAD,,,,8.2
05/19/1972,MOCBAAD,,,,8.25
05/26/1972,MOCBAAD,,,,8.25
06/02/1972,MOCBAAD,,,,8.22
06/09/1972,MOCBAAD,,,,8.21
06/16/1972,MOCBAAD,,,,8.21
06/23/1972,MOCBAAD,,,,8.18
06/30/1972,MOCBAAD,,,,8.2
07/06/1972,MOCBAAD,,,,8.19
07/13/1972,MOCBAAD,,,,8.2
07/20/1972,MOCBAAD,,,,8.25
07/27/1972,MOCBAAD,,,,8.27
08/04/1972,MOCBAAD,,,,8.25
08/11/1972,MOCBAAD,,,,8.23
08/18/1972,MOCBAAD,,,,8.19
08/25/1972,MOCBAAD,,,,8.16
09/01/1972,MOCBAAD,,,,8.15
09/08/1972,MOCBAAD,,,,8.11
09/15/1972,MOCBAAD,,,,8.09
09/22/1972,MOCBAAD,,,,8.09
09/29/1972,MOCBAAD,,,,8.08
10/06/1972,MOCBAAD,,,,8.08
10/13/1972,MOCBAAD,,,,8.07
10/20/1972,MOCBAAD,,,,8.06
10/27/1972,MOCBAAD,,,,8.05
11/03/1972,MOCBAAD,,,,8.04
11/10/1972,MOCBAAD,,,,8.02
11/17/1972,MOCBAAD,,,,8
11/24/1972,MOCBAAD,,,,7.95
12/01/1972,MOCBAAD,,,,7.96
12/08/1972,MOCBAAD,,,,7.94
12/15/1972,MOCBAAD,,,,7.94
12/22/1972,MOCBAAD,,,,7.93
12/29/1972,MOCBAAD,,,,7.9
01/05/1973,MOCBAAD,,,,7.9
01/12/1973,MOCBAAD,,,,7.89
01/19/1973,MOCBAAD,,,,7.9
01/26/1973,MOCBAAD,,,,7.91
02/02/1973,MOCBAAD,,,,7.95
02/09/1973,MOCBAAD,,,,7.97
02/16/1973,MOCBAAD,,,,7.97
02/23/1973,MOCBAAD,,,,7.97
03/02/1973,MOCBAAD,,,,7.97
03/09/1973,MOCBAAD,,,,7.99
03/16/1973,MOCBAAD,,,,8.01
03/23/1973,MOCBAAD,,,,8.05
03/30/1973,MOCBAAD,,,,8.08
04/06/1973,MOCBAAD,,,,8.11
04/13/1973,MOCBAAD,,,,8.1
04/19/1973,MOCBAAD,,,,8.1
04/26/1973,MOCBAAD,,,,8.05
05/04/1973,MOCBAAD,,,,8.03
05/11/1973,MOCBAAD,,,,8.03
05/18/1973,MOCBAAD,,,,8.04
05/25/1973,MOCBAAD,,,,8.08
06/01/1973,MOCBAAD,,,,8.12
06/08/1973,MOCBAAD,,,,8.13
