Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
__XAU_D,Gold Bullion Price-New York (US$/Ounce),Commodity Prices,United States Dollar,United States,,,,,,,National Currency,Units,Stock,none,Annual From Dec 1257 To Aug 1723<BR>Monthly From Sep 1723 To Dec 1861<BR>Daily From Jan 1862 To Dec 1878<BR>Monthly From Jan 1879 To Sep 1933<BR>Daily From Sep 1933 To Jan 1934<BR>Monthly From Feb 1934 To Mar 1968<BR>Daily From Apr 1968 To Feb 2021<BR>,"Data from 1257 to 1792 are based upon data for the price of gold in London.  Data are annual to 1723 and monthly thereafter. The data use the exchange rate ratio between the US Dollar gold price and London gold price in 1792 to create an index of gold in US Dollars going back to 1257. The data are based upon the series calculated by Lawrence H. Officer, What Was the Price of Gold Then? Importance, Measurement and History, EH.net. Gold prices for 1785 to 1933 are the official price of gold as set by the U.S. Government, with the exception of the period from 1861 to 1878 when the gold exchange price as quoted in the Commercial and Financial Chronicle, and reprinted in William B. Dana & Co., The Financial Review, New York, 1878, pp. 26-31. Historical prices for the United States are taken from the Commodity Research Bureau, Commodity Yearbook, Chicago: CRB since 1933. From January 30, 1934 until March 1968, the gold transactions of the U.S. Government for both monetary and industrial purposes were made at $35 per fine ounce, plus or minus a handling charge of one quarter of one percent and less mint charges. In 1968 a two-tiered gold system was instituted under which the private commodity price of gold was permitted to fluctuate without official intervention, while the official price and role of monetary gold remained unchanged among monetary authorities.  This system was terminated on November 10, 1973 because of the wide variations between official prices and market prices. From 1973 on, separate series are provided for the daily PM Fixing price for gold in London and the daily price of gold in New York.",
Date,Ticker,Open,High,Low,Close
01/02/1969,__XAU_D,41.8,41.8,41.8,41.8
01/03/1969,__XAU_D,42.05,42.05,42.05,42.05
01/06/1969,__XAU_D,42.05,42.05,42.05,42.05
01/07/1969,__XAU_D,42.1,42.1,42.1,42.1
01/08/1969,__XAU_D,42.45,42.45,42.45,42.45
01/09/1969,__XAU_D,42.5,42.5,42.5,42.5
01/10/1969,__XAU_D,42.3,42.3,42.3,42.3
01/13/1969,__XAU_D,42.1,42.1,42.1,42.1
01/14/1969,__XAU_D,42.5,42.5,42.5,42.5
01/15/1969,__XAU_D,42.7,42.7,42.7,42.7
01/16/1969,__XAU_D,42.35,42.35,42.35,42.35
01/17/1969,__XAU_D,42.2,42.2,42.2,42.2
01/20/1969,__XAU_D,42.2,42.2,42.2,42.2
01/21/1969,__XAU_D,42.475,42.475,42.475,42.475
01/22/1969,__XAU_D,42.525,42.525,42.525,42.525
01/23/1969,__XAU_D,42.05,42.05,42.05,42.05
01/24/1969,__XAU_D,42.1,42.1,42.1,42.1
01/27/1969,__XAU_D,42.2,42.2,42.2,42.2
01/28/1969,__XAU_D,42.425,42.425,42.425,42.425
01/29/1969,__XAU_D,42.5,42.5,42.5,42.5
01/30/1969,__XAU_D,42.55,42.55,42.55,42.55
01/31/1969,__XAU_D,42.54,42.54,42.54,42.54
02/03/1969,__XAU_D,42.425,42.425,42.425,42.425
02/04/1969,__XAU_D,42.5,42.5,42.5,42.5
02/05/1969,__XAU_D,42.725,42.725,42.725,42.725
02/06/1969,__XAU_D,42.625,42.625,42.625,42.625
02/07/1969,__XAU_D,42.525,42.525,42.525,42.525
02/10/1969,__XAU_D,42.45,42.45,42.45,42.45
02/11/1969,__XAU_D,42.55,42.55,42.55,42.55
02/12/1969,__XAU_D,42.5,42.5,42.5,42.5
02/13/1969,__XAU_D,42.575,42.575,42.575,42.575
02/14/1969,__XAU_D,42.5,42.5,42.5,42.5
02/17/1969,__XAU_D,42.65,42.65,42.65,42.65
02/18/1969,__XAU_D,42.575,42.575,42.575,42.575
02/19/1969,__XAU_D,42.65,42.65,42.65,42.65
02/20/1969,__XAU_D,42.625,42.625,42.625,42.625
02/21/1969,__XAU_D,42.625,42.625,42.625,42.625
02/24/1969,__XAU_D,42.7,42.7,42.7,42.7
02/25/1969,__XAU_D,42.65,42.65,42.65,42.65
02/26/1969,__XAU_D,42.7,42.7,42.7,42.7
02/27/1969,__XAU_D,42.8,42.8,42.8,42.8
02/28/1969,__XAU_D,42.7,42.7,42.7,42.7
03/03/1969,__XAU_D,42.7,42.7,42.7,42.7
03/04/1969,__XAU_D,42.85,42.85,42.85,42.85
03/05/1969,__XAU_D,43,43,43,43
03/06/1969,__XAU_D,43.25,43.25,43.25,43.25
03/07/1969,__XAU_D,43.5,43.5,43.5,43.5
03/10/1969,__XAU_D,43.825,43.825,43.825,43.825
03/11/1969,__XAU_D,42.95,42.95,42.95,42.95
03/12/1969,__XAU_D,42.85,42.85,42.85,42.85
03/13/1969,__XAU_D,43.1,43.1,43.1,43.1
03/14/1969,__XAU_D,43,43,43,43
03/17/1969,__XAU_D,43.1,43.1,43.1,43.1
03/18/1969,__XAU_D,43,43,43,43
03/19/1969,__XAU_D,43.1,43.1,43.1,43.1
03/20/1969,__XAU_D,43.2,43.2,43.2,43.2
03/21/1969,__XAU_D,43.2,43.2,43.2,43.2
03/24/1969,__XAU_D,43.35,43.35,43.35,43.35
03/25/1969,__XAU_D,43.35,43.35,43.35,43.35
03/26/1969,__XAU_D,43.425,43.425,43.425,43.425
03/27/1969,__XAU_D,43.46,43.46,43.46,43.46
03/28/1969,__XAU_D,43.225,43.225,43.225,43.225
03/31/1969,__XAU_D,42.9,42.9,42.9,42.9
04/01/1969,__XAU_D,43.15,43.15,43.15,43.15
04/02/1969,__XAU_D,43.25,43.25,43.25,43.25
04/03/1969,__XAU_D,43.375,43.375,43.375,43.375
04/08/1969,__XAU_D,43.375,43.375,43.375,43.375
04/09/1969,__XAU_D,43.4,43.4,43.4,43.4
04/10/1969,__XAU_D,43.39,43.39,43.39,43.39
04/11/1969,__XAU_D,43.4,43.4,43.4,43.4
04/14/1969,__XAU_D,43.15,43.15,43.15,43.15
04/15/1969,__XAU_D,42.975,42.975,42.975,42.975
04/16/1969,__XAU_D,43.25,43.25,43.25,43.25
04/17/1969,__XAU_D,43.2,43.2,43.2,43.2
04/18/1969,__XAU_D,43.225,43.225,43.225,43.225
04/21/1969,__XAU_D,43.15,43.15,43.15,43.15
04/22/1969,__XAU_D,43.3,43.3,43.3,43.3
04/23/1969,__XAU_D,43.35,43.35,43.35,43.35
04/24/1969,__XAU_D,43.35,43.35,43.35,43.35
04/25/1969,__XAU_D,43.3,43.3,43.3,43.3
04/28/1969,__XAU_D,43.6,43.6,43.6,43.6
04/29/1969,__XAU_D,43.5,43.5,43.5,43.5
04/30/1969,__XAU_D,43.6,43.6,43.6,43.6
05/01/1969,__XAU_D,43.6,43.6,43.6,43.6
05/02/1969,__XAU_D,43.6,43.6,43.6,43.6
05/05/1969,__XAU_D,43.5,43.5,43.5,43.5
05/06/1969,__XAU_D,43.375,43.375,43.375,43.375
05/07/1969,__XAU_D,43.6,43.6,43.6,43.6
05/08/1969,__XAU_D,43.625,43.625,43.625,43.625
05/09/1969,__XAU_D,43.525,43.525,43.525,43.525
05/12/1969,__XAU_D,43.5,43.5,43.5,43.5
05/13/1969,__XAU_D,43.5,43.5,43.5,43.5
05/14/1969,__XAU_D,43.5,43.5,43.5,43.5
05/15/1969,__XAU_D,43.5,43.5,43.5,43.5
05/16/1969,__XAU_D,43.5,43.5,43.5,43.5
05/19/1969,__XAU_D,43.5,43.5,43.5,43.5
05/20/1969,__XAU_D,43.425,43.425,43.425,43.425
05/21/1969,__XAU_D,43.45,43.45,43.45,43.45
05/22/1969,__XAU_D,43.45,43.45,43.45,43.45
05/23/1969,__XAU_D,43.5,43.5,43.5,43.5
05/27/1969,__XAU_D,43.475,43.475,43.475,43.475
05/28/1969,__XAU_D,43.325,43.325,43.325,43.325
05/29/1969,__XAU_D,43.225,43.225,43.225,43.225
05/30/1969,__XAU_D,43.075,43.075,43.075,43.075
06/02/1969,__XAU_D,42.675,42.675,42.675,42.675
06/03/1969,__XAU_D,42.29,42.29,42.29,42.29
06/04/1969,__XAU_D,42.075,42.075,42.075,42.075
06/05/1969,__XAU_D,41.6,41.6,41.6,41.6
06/06/1969,__XAU_D,40.625,40.625,40.625,40.625
06/09/1969,__XAU_D,41.25,41.25,41.25,41.25
06/10/1969,__XAU_D,42.3,42.3,42.3,42.3
06/11/1969,__XAU_D,41.4,41.4,41.4,41.4
06/12/1969,__XAU_D,41.5,41.5,41.5,41.5
06/13/1969,__XAU_D,41.6,41.6,41.6,41.6
06/16/1969,__XAU_D,40.8,40.8,40.8,40.8
06/17/1969,__XAU_D,41.45,41.45,41.45,41.45
06/18/1969,__XAU_D,41.4,41.4,41.4,41.4
06/19/1969,__XAU_D,41.45,41.45,41.45,41.45
06/20/1969,__XAU_D,41.3,41.3,41.3,41.3
06/23/1969,__XAU_D,41.3,41.3,41.3,41.3
06/24/1969,__XAU_D,40.925,40.925,40.925,40.925
06/25/1969,__XAU_D,40.9,40.9,40.9,40.9
06/26/1969,__XAU_D,41,41,41,41
06/27/1969,__XAU_D,41.1,41.1,41.1,41.1
06/30/1969,__XAU_D,41.2,41.2,41.2,41.2
07/01/1969,__XAU_D,41.15,41.15,41.15,41.15
