Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
USDGBP,British Pounds per US Dollar,Exchange Rates - Market,United States Dollar,United States,,,,,,,Currency Units,Units,Stock,none,Monthly From Apr 1660 To Jan 1855<BR>Weekly From Jan 1855 To Dec 1858<BR>Monthly From Jan 1859 To Dec 1861<BR>Daily From Jan 1862 To Feb 2021<BR>,"Because the United States did not exist prior to 1776, dollar exchange rates prior to that data are unavailable.  Moreover, most exchange rates that are available prior to the Civil War in the United States are between European countries and/or cities rather than between the United States (New York) and European centers.  The two most important exchange rate centers before World War I were London and Amsterdam.  Consequently, European exchange rates for London and Amsterdam are included in order that exchange rates can be extended back to the 1600s.   <br /> The best single source for historical exchange rates is Jurgen Schneider, Oskar Schwarzer and Friedrich Zellfelder, Wahrungen der Welt, Vol. 1-10, Stuttgart: Franz Steiner Verlag, 1991. The sources for London's exchange rates are Larry Neal, The Rise of Financial Capitalism, Cambridge: Cambridge Univ. Press, 1990 and John J. McCusker, Money and Exchange in Europe and America, 1600-1775 A Handbook, Chapel Hill: University of North Carolina Press, 1978; and for Amsterdam, Nicholas W. Posthumus, Inquiry into the History of Prices in Holland, 2 vols., Leyden: E. J. Brill, 1964.   <br />Prior to the 20th Century, most exchange rates were quoted for individuals traveling or shipping goods by sea.  So most historical interest rates are futures prices rather than spot prices, generally for two months, to reflect the delay in travel.  By the 18th Century, however, exchange rates between major currencies were often provided both for future and sight prices, and the difference between the two rates reflected the opportunity cost of capital. In some cases, where no data were available for a particular month, the previous month's data has been used.   <br /> For the colonies' exchange rates, the data for Massachusetts goes back further than any other colony, but it is sporadic, and the best series are available for New York and Pennsylvania.  Therefore, we are providing data for Massachusetts for the 1600s and data for New York and Pennsylvania for the 1700s. Although each colony had a different exchange rate, and they moved independently of one another, as a comparison of New York and Pennsylvania will show that the exchange rates trended in the same direction. <br /> When the U.S. Dollar was introduced, the Congress promised to pay their face value in Spanish Milled Dollars.  This determined the exchange rates with the colonials' currencies at their exchange rate with the Spanish Milled Dollars which was one US Dollar was equal to 6 New England Shillings, 8 New York Shillings, 7.5 Middle States Shillings, 6 Virginia Shillings, 8 Carolina Shillings and 32.5 Georgia Shillings. <br /> The main period when exchange rates were not consistently recorded was during the Napoleonic Wars, particularly between 1793 and 1803; however, by using cross rates, most exchange rates can be approximated. For the Amsterdam exchange rates, WW uses the Mark-Banco which represented a fixed weight of gold on deposit at the Bank of Amsterdam and which commanded a premium over corresponding metallic money.",
Date,Ticker,Open,High,Low,Close
01/04/1969,USDGBP,0.4194,0.4194,0.4194,0.4194
01/06/1969,USDGBP,0.4194,0.4194,0.4194,0.4194
01/07/1969,USDGBP,0.4194,0.4194,0.4194,0.4194
01/08/1969,USDGBP,0.4195,0.4195,0.4195,0.4195
01/09/1969,USDGBP,0.4194,0.4194,0.4194,0.4194
01/10/1969,USDGBP,0.4193,0.4193,0.4193,0.4193
01/11/1969,USDGBP,0.4193,0.4193,0.4193,0.4193
01/13/1969,USDGBP,0.4193,0.4193,0.4193,0.4193
01/14/1969,USDGBP,0.4193,0.4193,0.4193,0.4193
01/15/1969,USDGBP,0.4191,0.4191,0.4191,0.4191
01/16/1969,USDGBP,0.4193,0.4193,0.4193,0.4193
01/17/1969,USDGBP,0.4191,0.4191,0.4191,0.4191
01/18/1969,USDGBP,0.4191,0.4191,0.4191,0.4191
01/20/1969,USDGBP,0.4191,0.4191,0.4191,0.4191
01/21/1969,USDGBP,0.4191,0.4191,0.4191,0.4191
01/22/1969,USDGBP,0.4189,0.4189,0.4189,0.4189
01/23/1969,USDGBP,0.4186,0.4186,0.4186,0.4186
01/24/1969,USDGBP,0.4186,0.4186,0.4186,0.4186
01/25/1969,USDGBP,0.4186,0.4186,0.4186,0.4186
01/27/1969,USDGBP,0.4185,0.4185,0.4185,0.4185
01/28/1969,USDGBP,0.4185,0.4185,0.4185,0.4185
01/29/1969,USDGBP,0.4185,0.4185,0.4185,0.4185
01/30/1969,USDGBP,0.4185,0.4185,0.4185,0.4185
01/31/1969,USDGBP,0.4184,0.4184,0.4184,0.4184
02/01/1969,USDGBP,0.4185,0.4185,0.4185,0.4185
02/03/1969,USDGBP,0.4185,0.4185,0.4185,0.4185
02/04/1969,USDGBP,0.4185,0.4185,0.4185,0.4185
02/05/1969,USDGBP,0.4182,0.4182,0.4182,0.4182
02/06/1969,USDGBP,0.4182,0.4182,0.4182,0.4182
02/07/1969,USDGBP,0.4181,0.4181,0.4181,0.4181
02/08/1969,USDGBP,0.4184,0.4184,0.4184,0.4184
02/10/1969,USDGBP,0.4183,0.4183,0.4183,0.4183
02/11/1969,USDGBP,0.4183,0.4183,0.4183,0.4183
02/12/1969,USDGBP,0.4183,0.4183,0.4183,0.4183
02/13/1969,USDGBP,0.4183,0.4183,0.4183,0.4183
02/14/1969,USDGBP,0.4183,0.4183,0.4183,0.4183
02/15/1969,USDGBP,0.4181,0.4181,0.4181,0.4181
02/17/1969,USDGBP,0.4179,0.4179,0.4179,0.4179
02/18/1969,USDGBP,0.4179,0.4179,0.4179,0.4179
02/19/1969,USDGBP,0.4178,0.4178,0.4178,0.4178
02/20/1969,USDGBP,0.4181,0.4181,0.4181,0.4181
02/21/1969,USDGBP,0.418,0.418,0.418,0.418
02/22/1969,USDGBP,0.4183,0.4183,0.4183,0.4183
02/24/1969,USDGBP,0.4183,0.4183,0.4183,0.4183
