Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
WPUSAM,USA Producer Price Index--All Commodities,Producer Price Indices,United States Dollar,United States,,,,,,,Index Number,Units,Stock,none,Monthly From Jan 1720 To Jan 2021<BR>,"Notes: This is a combination of several indices. Data from 1720 through 1747 are taken from Anne Bezanson, Wholesale prices in Philadelphia, A series of relative monthly prices. Philadelphia: University of Pennsylvania Press, 1936-1937 and 1954. From 1748 until 1912, the index of U.S. Commodity Prices collected by George F. Warren and Frank A. Pearson, Prices, New York: John Wiley & Sons, 1933, pp. 11-13 is used.  This index used eleven groups of commodities including farm products (25-35 items), foods (25-27 items, hides and leather (4-5 items), textiles (8-10 items), fuel and lighting (.5 to 1), house furnishings (1), spirits (3-5), miscellaneous (1.5-3 items). The full index is available in CMWPCPIM.  <br />Beginning in 1913, the Bureau of Labor Statistics' all-commodity price index is used and is continued through 1947.  For 1926 and later years the index was based on 784 commodities.  See United States Department of Labor, Bureau of Labor Statistics mimeograph release No. 4313, January 1932.  The current index has a base of 1982 = 100 and uses the All commodities Producer Commodity Price Index. The All-Industrial Producer Price Index, which begins in 1913, can be found in WPUSAICM.  <br />The Producer Price Index (PPI) is a family of indexes that measures the average change over time in selling prices received by domestic producers of goods and services. PPIs measure price change from the perspective of the seller. This contrasts with other measures, such as the Consumer Price Index (CPI), that measure price change from the purchaser's perspective. Sellers' and purchasers' prices may differ due to government subsidies, sales and excise taxes, and distribution costs. There are three main PPI publication structures: Industry-based. The PPI publishes over 500 industry price indexes in combination with over 10,000 specific product line and product category sub-indexes. Commodity-based. The PPI publishes over 3,200 commodity price indexes organized by type of product and end use. Stage-of-processing based. The PPI publishes aggregate price indexes organized by commodity-based processing stage. The three stages of processing include Finished Goods; Intermediate Materials, Supplies, and Components; and Crude Materials for Further Processing.Source: Federal Reserve Bank of St. Louis. The data is collected from the FRED database. The FRED database uses data from the Board of Governors of the Federal Reserve System, the Federal Reserve Bank of Philadelphia, the Federal Reserve Bank of St. Louis, the Office of Federal Housing Enterprise Oversight, The White House Council of Economic Advisors and Office of Management and Budget, the Congressional Budget Office, the U.S. Department of Commerce, the U.S. Department of Housing and Urban Development, the Bureau of Labor Statistics and the U.S. Department of the Treasury.",
Date,Ticker,Open,High,Low,Close
01/31/1969,WPUSAM,,,,34.8
02/28/1969,WPUSAM,,,,35
03/31/1969,WPUSAM,,,,35.2
04/30/1969,WPUSAM,,,,35.3
05/31/1969,WPUSAM,,,,35.5
06/30/1969,WPUSAM,,,,35.7
07/31/1969,WPUSAM,,,,35.8
08/31/1969,WPUSAM,,,,35.7
09/30/1969,WPUSAM,,,,35.8
10/31/1969,WPUSAM,,,,35.9
11/30/1969,WPUSAM,,,,36.1
12/31/1969,WPUSAM,,,,36.3
01/31/1970,WPUSAM,,,,36.5
02/28/1970,WPUSAM,,,,36.7
03/31/1970,WPUSAM,,,,36.7
04/30/1970,WPUSAM,,,,36.8
05/31/1970,WPUSAM,,,,36.8
06/30/1970,WPUSAM,,,,36.9
07/31/1970,WPUSAM,,,,37.1
08/31/1970,WPUSAM,,,,36.9
09/30/1970,WPUSAM,,,,37.1
10/31/1970,WPUSAM,,,,37.1
11/30/1970,WPUSAM,,,,37.1
12/31/1970,WPUSAM,,,,37.1
01/31/1971,WPUSAM,,,,37.3
02/28/1971,WPUSAM,,,,37.7
03/31/1971,WPUSAM,,,,37.8
04/30/1971,WPUSAM,,,,37.9
05/31/1971,WPUSAM,,,,38.1
06/30/1971,WPUSAM,,,,38.2
07/31/1971,WPUSAM,,,,38.3
08/31/1971,WPUSAM,,,,38.5
09/30/1971,WPUSAM,,,,38.3
10/31/1971,WPUSAM,,,,38.3
11/30/1971,WPUSAM,,,,38.3
12/31/1971,WPUSAM,,,,38.6
01/31/1972,WPUSAM,,,,38.8
02/29/1972,WPUSAM,,,,39.2
03/31/1972,WPUSAM,,,,39.2
04/30/1972,WPUSAM,,,,39.3
05/31/1972,WPUSAM,,,,39.5
06/30/1972,WPUSAM,,,,39.7
07/31/1972,WPUSAM,,,,40
08/31/1972,WPUSAM,,,,40.1
09/30/1972,WPUSAM,,,,40.2
10/31/1972,WPUSAM,,,,40.1
11/30/1972,WPUSAM,,,,40.3
12/31/1972,WPUSAM,,,,41.1
01/31/1973,WPUSAM,,,,41.6
02/28/1973,WPUSAM,,,,42.4
03/31/1973,WPUSAM,,,,43.4
04/30/1973,WPUSAM,,,,43.6
05/31/1973,WPUSAM,,,,44.5
06/30/1973,WPUSAM,,,,45.5
07/31/1973,WPUSAM,,,,44.9
08/31/1973,WPUSAM,,,,47.5
09/30/1973,WPUSAM,,,,46.7
