Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_GDAXIPD,Germany DAX Price Index,Stock Indices - Composites,Germany Deutschemark (Euro from 01/01/1999),Germany,,,,,,,Index Number ,Units,Stock,none,Daily From Sep 1959 To Feb 2021<BR>,DAX measures the performance of the Prime Standard's 30 largest German companies in terms of order book volume and market capitalization. The index is based on prices generated in the electronic trading system Xetra®. Its calculation starts at 9.00 a.m. and ends with the prices from the Xetra closing auction at 5.30 p.m.,
Date,Ticker,Open,High,Low,Close
01/02/1969,_GDAXIPD,560.3,560.3,560.3,560.3
01/03/1969,_GDAXIPD,566.6,566.6,566.6,566.6
01/06/1969,_GDAXIPD,566.2,566.2,566.2,566.2
01/07/1969,_GDAXIPD,558.7,558.7,558.7,558.7
01/08/1969,_GDAXIPD,559.8,559.8,559.8,559.8
01/09/1969,_GDAXIPD,564.5,564.5,564.5,564.5
01/10/1969,_GDAXIPD,565.8,565.8,565.8,565.8
01/13/1969,_GDAXIPD,565.7,565.7,565.7,565.7
01/14/1969,_GDAXIPD,563.7,563.7,563.7,563.7
01/15/1969,_GDAXIPD,566.5,566.5,566.5,566.5
01/16/1969,_GDAXIPD,570.2,570.2,570.2,570.2
01/17/1969,_GDAXIPD,574.4,574.4,574.4,574.4
01/20/1969,_GDAXIPD,573,573,573,573
01/21/1969,_GDAXIPD,575.3,575.3,575.3,575.3
01/22/1969,_GDAXIPD,575.9,575.9,575.9,575.9
01/23/1969,_GDAXIPD,581.9,581.9,581.9,581.9
01/24/1969,_GDAXIPD,583,583,583,583
01/27/1969,_GDAXIPD,588.4,588.4,588.4,588.4
01/28/1969,_GDAXIPD,585.2,585.2,585.2,585.2
01/29/1969,_GDAXIPD,589.9,589.9,589.9,589.9
01/30/1969,_GDAXIPD,590.6,590.6,590.6,590.6
01/31/1969,_GDAXIPD,591.4,591.4,591.4,591.4
02/03/1969,_GDAXIPD,588.2,588.2,588.2,588.2
02/04/1969,_GDAXIPD,585.8,585.8,585.8,585.8
02/05/1969,_GDAXIPD,590.2,590.2,590.2,590.2
02/06/1969,_GDAXIPD,590.5,590.5,590.5,590.5
02/07/1969,_GDAXIPD,588.5,588.5,588.5,588.5
02/10/1969,_GDAXIPD,584.3,584.3,584.3,584.3
02/11/1969,_GDAXIPD,582.6,582.6,582.6,582.6
02/12/1969,_GDAXIPD,585.3,585.3,585.3,585.3
02/13/1969,_GDAXIPD,580.9,580.9,580.9,580.9
02/14/1969,_GDAXIPD,577.4,577.4,577.4,577.4
02/17/1969,_GDAXIPD,568,568,568,568
02/18/1969,_GDAXIPD,569.5,569.5,569.5,569.5
02/19/1969,_GDAXIPD,575.4,575.4,575.4,575.4
02/20/1969,_GDAXIPD,574.3,574.3,574.3,574.3
02/21/1969,_GDAXIPD,577.8,577.8,577.8,577.8
02/24/1969,_GDAXIPD,586.6,586.6,586.6,586.6
02/25/1969,_GDAXIPD,582.2,582.2,582.2,582.2
02/26/1969,_GDAXIPD,576.8,576.8,576.8,576.8
02/27/1969,_GDAXIPD,572.4,572.4,572.4,572.4
02/28/1969,_GDAXIPD,571.9,571.9,571.9,571.9
03/03/1969,_GDAXIPD,572.9,572.9,572.9,572.9
03/04/1969,_GDAXIPD,580.9,580.9,580.9,580.9
03/05/1969,_GDAXIPD,584.8,584.8,584.8,584.8
03/06/1969,_GDAXIPD,580,580,580,580
