Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_SSECD,Shanghai SE Composite,Stock Indices - Composites,China Renminbi Yuan,China,,,,,,,National Currency,Units,Stock,none,Daily From Dec 1990 To Feb 2021<BR>,"The Shanghai Stock Price Index is a capitalization-weighted index. The index tracks the daily price performance of all A-shares and B-shares listed on the Shanghai Stock Exchange. The index was developed on December 19, 1990 with a base value of 100.",
Date,Ticker,Open,High,Low,Close
12/19/1990,_SSECD,96.05,99.98,95.79,99.98
12/20/1990,_SSECD,104.3,104.39,99.98,104.39
12/21/1990,_SSECD,109.07,109.13,103.73,109.13
12/24/1990,_SSECD,113.57,114.55,109.13,114.55
12/25/1990,_SSECD,120.09,120.25,114.55,120.25
12/26/1990,_SSECD,125.27,125.27,120.25,125.27
12/27/1990,_SSECD,125.27,125.28,125.27,125.28
12/28/1990,_SSECD,126.39,126.45,125.28,126.45
12/31/1990,_SSECD,126.56,127.61,126.48,127.61
01/02/1991,_SSECD,127.61,128.84,127.61,128.84
01/03/1991,_SSECD,128.84,130.14,128.84,130.14
01/04/1991,_SSECD,131.27,131.44,130.14,131.44
01/07/1991,_SSECD,131.99,132.06,131.45,132.06
01/08/1991,_SSECD,132.62,132.68,132.06,132.68
01/09/1991,_SSECD,133.3,133.34,132.68,133.34
01/10/1991,_SSECD,133.93,133.97,133.34,133.97
01/11/1991,_SSECD,134.61,134.61,134.51,134.6
01/14/1991,_SSECD,134.11,135.19,134.11,134.67
01/15/1991,_SSECD,134.21,134.74,134.19,134.74
01/16/1991,_SSECD,134.19,134.74,134.14,134.24
01/17/1991,_SSECD,133.67,134.25,133.65,134.25
01/18/1991,_SSECD,133.7,134.25,133.67,134.24
01/21/1991,_SSECD,133.7,134.24,133.66,134.24
01/22/1991,_SSECD,133.72,134.24,133.66,133.72
01/23/1991,_SSECD,133.17,133.72,133.14,133.17
