Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_SPIXD,Switzerland Price Index (w/GFD extension),Stock Indices - Composites,Switzerland Franc,Switzerland,,,,,,,Index Number ,Units,Stock,none,Annual From Dec 1899 To Dec 1913<BR>Monthly From Jan 1914 To Dec 1937<BR>Weekly From Jan 1938 To Jan 1969<BR>Daily From Jan 1969 To Feb 2021<BR>,"An index of 21 stocks calculated by the Swiss National Bank is used from 1910 to 1925 when a broader index of stocks was introduced.  The Swiss National Bank (Schweizerisches Nationalbank) published weekly indices of Swiss stocks for 12 different sectors from the 1920s until they were discontinued in 1988 when they were replaced by the Switzerland Performance Indices. Data are monthly through 1937, semi-monthly through 1955, and weekly thereafter.<br />The Swiss Bankcorp indices were discontinued in 1997. The SBC indices included over 400 stocks traded on the Zurich, Geneva and Basle exchanges.  SBC calculated a general index and 11 sector indices.  Each of these 12 indices had three separate indices for all shares, for bearer shares and for registered shares.  In addition to this, SBC calculated price indices that were capitalization-weighted using the Laspeyres formula and omitting dividends, and SBC calculated total-return performance indices.  This created a total of 72 (12x3x2) indices.  The price indices had a base of December 31, 1958 = 100 and the performance indices hade a base of April 1, 1987 = 1000. Where possible, data from the Swiss National Bank indices have been added to provide more historical data. The primary sources for these data are Statistischen Bureau, Statistisches Jahrbuch der Schweiz, Bern: Verlag des Ar. Institut Orell Fussli (1920-1965) and Schweizerisches Nationalbank, Monatsbericht, Zurich.  The Swiss Bankcorp sector indices were used since they were the broadest indices with the longest series of historical data. <br />The Vereinigung Schweizerischer Effektenborsen calculates indices for shares traded on the Swiss Stock Exchanges.  Both price and return indices are calculated. The base is January 6, 1987 = 1000 for the return indices and January 6, 1987 = 100 for the price indices.  Where possible, the SPI price indices have been combined with the Swiss Bankcorp and Swiss National Bank indices to provide more complete series. Data are monthly through 1937, semi-monthly through 1955, and weekly thereafter.",
Date,Ticker,Open,High,Low,Close
01/03/1969,_SPIXD,62.0008,62.0008,62.0008,62.0008
01/06/1969,_SPIXD,62.1992,62.1992,62.1992,62.1992
01/07/1969,_SPIXD,62.4157,62.4157,62.4157,62.4157
01/08/1969,_SPIXD,62.4878,62.4878,62.4878,62.4878
01/09/1969,_SPIXD,62.578,62.578,62.578,62.578
01/10/1969,_SPIXD,63.5882,63.5882,63.5882,63.5882
01/13/1969,_SPIXD,63.2635,63.2635,63.2635,63.2635
01/14/1969,_SPIXD,63.3898,63.3898,63.3898,63.3898
01/15/1969,_SPIXD,63.2455,63.2455,63.2455,63.2455
01/16/1969,_SPIXD,63.2455,63.2455,63.2455,63.2455
01/17/1969,_SPIXD,62.8306,62.8306,62.8306,62.8306
01/20/1969,_SPIXD,61.8384,61.8384,61.8384,61.8384
01/21/1969,_SPIXD,61.8384,61.8384,61.8384,61.8384
01/22/1969,_SPIXD,62.0369,62.0369,62.0369,62.0369
01/23/1969,_SPIXD,62.8667,62.8667,62.8667,62.8667
01/24/1969,_SPIXD,62.8125,62.8125,62.8125,62.8125
01/27/1969,_SPIXD,62.7584,62.7584,62.7584,62.7584
01/28/1969,_SPIXD,62.8847,62.8847,62.8847,62.8847
01/29/1969,_SPIXD,63.2455,63.2455,63.2455,63.2455
01/30/1969,_SPIXD,62.9929,62.9929,62.9929,62.9929
01/31/1969,_SPIXD,63.1553,63.1553,63.1553,63.1553
02/03/1969,_SPIXD,63.48,63.48,63.48,63.48
02/04/1969,_SPIXD,64.0031,64.0031,64.0031,64.0031
02/05/1969,_SPIXD,64.4541,64.4541,64.4541,64.4541
02/06/1969,_SPIXD,64.869,64.869,64.869,64.869
02/07/1969,_SPIXD,64.869,64.869,64.869,64.869
02/10/1969,_SPIXD,64.7067,64.7067,64.7067,64.7067
02/11/1969,_SPIXD,64.3098,64.3098,64.3098,64.3098
02/12/1969,_SPIXD,63.8588,63.8588,63.8588,63.8588
02/13/1969,_SPIXD,64.0031,64.0031,64.0031,64.0031
