Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_FTASD,UK FTSE All-Share Index (w/GFD extension),Stock Indices - Composites,United Kingdom Pound,United Kingdom,,,,,,,National Currency,Units,Stock,none,Monthly From Jun 1933 To Dec 1964<BR>Weekly From Jan 1965 To Dec 1968<BR>Daily From Dec 1968 To Feb 2021<BR>,"Sources include Thorold Rogers, A History of Prices in England, (1693-1697), Larry Neal, The Rise of Financial Capitalism: International Capital Markets in the Age of Reason, New York: Cambridge Univ. Press, 1990 (1698-January 1811), W. W. Rostow and Anna J. Schwartz, The Growth and Fluctuation of the British Economy 1790-1850), (2 vols.), Oxford: Oxford U.P., 1953, p. 368, (February 1811-December 1850), Hayek as given in Rostow, ibid., p. 456 (January 1851-June 1867), K.C. Smith and G.F. Horne, An Index Number of Securities, 1867-1914, London and Cambridge Economic Service Special Memorandum No. 37, (July 1867-December 1906), Banker's Magazine (January 1907-May 1933), Economist (1933-1962), Financial Times (1950-). Volume data are provided for the London Stock Exchange.  The number of bargains is provided in the FT 30 Industrials file, the Value of shares traded is provided in the FT All-Share Index, and the total shares traded is provided in the FT-500 Non-Financial Index. The All-Share index contains the historical data for the United Kingdom. East Indies Stock is used for 1693.  The index is an unweighted arithmetic average of Bank of England and East Indies stock from 1694 to August 1711, and of Bank of England, East Indies and South Sea stock from September 1711 to January 1811.  Rostow's Total Index of Share Prices is used from 1811 to 1850.  Hayek's index was taken from Rostow and excludes banks, insurance and bridge stocks, but includes industrial stocks.  This index is linked to the London and Cambridge Economic Service index, which begins in July 1867 and continues until 1906.  The L&CES index consisted of 25 stocks in 1867 and had grown to 75 stocks by 1914.   The Banker's Magazine kept a capitalization-weighted index of 287 stocks, which gave the total capital values of the companies that were included.  This was the broadest index of London shares at the time and the index is used beginning in 1907.  Although this index was calculated beginning in 1887, the Banker's Magazine usually omitted calculating the index for one month during the summer, and for this reason it is excluded until 1907 when calculations were made for every month.  The London market closed in August 1914 and reopened in January 1915.  The Banker's Magazine Index is used through May 1933.  Beginning in June 1933, the Actuaries General Index is used.  This index included financial stocks, commodities and utilities, but excluded debentures and preferred shares.   Beginning in April 1962, the Financial Times-Actuaries All-Share Index is used.  All indexes have been chain linked to one another to create a continuous index with the All-Share index's base of April 10, 1962 used as the base for the entire index. The All-Share Index is a capitalization-weighted price index and covers about 98-99% of the capital value of all UK companies.  It uses the Paasche formula, adjust for capitalization changes, and has its components reviewed in December.  It combines the FT-SE 100, FT-SE Mid-250 and FT-SE Small Cap indices, but excludes the Fledgling and AIM index components. Data are weekly from 1965 to 1968 and daily thereafter.",
Date,Ticker,Open,High,Low,Close
01/02/1969,_FTASD,174.95,174.95,174.95,174.95
01/03/1969,_FTASD,174.67,174.67,174.67,174.67
01/06/1969,_FTASD,174.24,174.24,174.24,174.24
01/07/1969,_FTASD,173.22,173.22,173.22,173.22
01/08/1969,_FTASD,171.94,171.94,171.94,171.94
01/09/1969,_FTASD,173.04,173.04,173.04,173.04
01/10/1969,_FTASD,174.66,174.66,174.66,174.66
01/13/1969,_FTASD,176,176,176,176
01/14/1969,_FTASD,177.14,177.14,177.14,177.14
01/15/1969,_FTASD,179.58,179.58,179.58,179.58
01/16/1969,_FTASD,178.11,178.11,178.11,178.11
01/17/1969,_FTASD,176.72,176.72,176.72,176.72
01/20/1969,_FTASD,175.76,175.76,175.76,175.76
01/21/1969,_FTASD,176.19,176.19,176.19,176.19
01/22/1969,_FTASD,176.53,176.53,176.53,176.53
01/23/1969,_FTASD,177.51,177.51,177.51,177.51
01/24/1969,_FTASD,177.64,177.64,177.64,177.64
01/27/1969,_FTASD,178.32,178.32,178.32,178.32
01/28/1969,_FTASD,179.14,179.14,179.14,179.14
01/29/1969,_FTASD,172.46,172.46,172.46,172.46
01/30/1969,_FTASD,174.12,174.12,174.12,174.12
01/31/1969,_FTASD,174.35,174.35,174.35,174.35
02/03/1969,_FTASD,172.48,172.48,172.48,172.48
02/04/1969,_FTASD,170.04,170.04,170.04,170.04
02/05/1969,_FTASD,176.14,176.14,176.14,176.14
02/06/1969,_FTASD,176.44,176.44,176.44,176.44
02/07/1969,_FTASD,175.45,175.45,175.45,175.45
02/10/1969,_FTASD,174.14,174.14,174.14,174.14
02/11/1969,_FTASD,175.45,175.45,175.45,175.45
02/12/1969,_FTASD,173.51,173.51,173.51,173.51
02/13/1969,_FTASD,173.68,173.68,173.68,173.68
02/14/1969,_FTASD,173.52,173.52,173.52,173.52
02/17/1969,_FTASD,172.33,172.33,172.33,172.33
02/18/1969,_FTASD,169.52,169.52,169.52,169.52
02/19/1969,_FTASD,169.05,169.05,169.05,169.05
02/20/1969,_FTASD,167.32,167.32,167.32,167.32
02/21/1969,_FTASD,166,166,166,166
02/24/1969,_FTASD,166.67,166.67,166.67,166.67
02/25/1969,_FTASD,167.8,167.8,167.8,167.8
02/26/1969,_FTASD,166.34,166.34,166.34,166.34
02/27/1969,_FTASD,164.21,164.21,164.21,164.21
02/28/1969,_FTASD,162.86,162.86,162.86,162.86
03/03/1969,_FTASD,163.75,163.75,163.75,163.75
03/04/1969,_FTASD,164.71,164.71,164.71,164.71
03/05/1969,_FTASD,166.39,166.39,166.39,166.39
03/06/1969,_FTASD,166.32,166.32,166.32,166.32
03/07/1969,_FTASD,165.59,165.59,165.59,165.59
03/10/1969,_FTASD,166.03,166.03,166.03,166.03
